accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location
2.01601E+12,2016,10000018,510740,177230,-0.40658,51.483139,1,3,2,1,01-11-2016,3,07:53,25,E09000018,E09000018,3,312,3,40,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01002583
2.01601E+12,2016,10000020,527610,181430,-0.162234,51.517333,1,3,1,1,01-11-2016,3,08:53,1,E09000033,E09000033,5,0,6,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01004658
2.01601E+12,2016,10000023,524640,180620,-0.205302,51.510716,1,3,1,1,01-11-2016,3,09:51,12,E09000020,E09000020,4,450,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01002875
2.01601E+12,2016,10000025,528300,188290,-0.149795,51.578827,1,3,3,1,01-11-2016,3,09:50,31,E09000014,E09000014,3,1,6,30,9,4,6,0,0,0,1,1,1,4,0,1,1,2,E01002011
2.01601E+12,2016,10000031,535890,181160,-0.043075,51.512977,1,3,2,1,01-11-2016,3,08:56,5,E09000030,E09000030,3,13,3,20,7,4,6,0,0,0,1,1,1,0,0,1,1,2,E01032769
2.01601E+12,2016,10000039,523320,184260,-0.22304,51.543719,1,3,2,1,01-11-2016,3,08:37,28,E09000005,E09000005,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,2,E01000489
2.01601E+12,2016,10000046,527310,179690,-0.167183,51.501763,1,3,2,1,01-11-2016,3,11:00,1,E09000033,E09000033,3,315,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01004692
2.01601E+12,2016,10000047,517500,170460,-0.311517,51.420929,1,3,1,1,01-11-2016,3,08:40,24,E09000027,E09000027,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01003837
2.01601E+12,2016,10000048,516350,175710,-0.326324,51.468352,1,2,1,1,01-11-2016,3,07:10,25,E09000018,E09000018,3,3004,6,30,3,4,6,0,0,4,1,1,1,0,2,1,1,2,E01002667
2.01601E+12,2016,10000049,513930,176600,-0.360863,51.476843,1,3,1,1,01-11-2016,3,13:10,25,E09000018,E09000018,4,363,6,30,2,4,5,0,0,8,1,1,1,0,0,1,1,2,E01002640
2.01601E+12,2016,10000052,512760,172110,-0.379133,51.436721,1,3,2,1,01-11-2016,3,10:13,25,E09000018,E09000018,3,312,1,30,1,4,3,316,0,0,1,1,1,0,0,1,1,2,E01002605
2.01601E+12,2016,10000053,525750,179560,-0.189693,51.500944,1,3,1,1,01-11-2016,3,13:52,12,E09000020,E09000020,6,0,6,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01002889
2.01601E+12,2016,10000056,528390,177880,-0.152289,51.485252,1,2,2,1,01-11-2016,3,14:45,12,E09000020,E09000020,3,3212,6,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01002901
2.01601E+12,2016,10000067,527110,170930,-0.17321,51.423081,1,3,3,1,01-11-2016,3,16:15,10,E09000032,E09000032,3,24,6,30,0,-1,-1,-1,0,0,1,2,2,0,0,1,1,2,E01004530
2.01601E+12,2016,10000072,534430,175950,-0.066085,51.466506,1,3,2,1,01-11-2016,3,19:11,8,E09000028,E09000028,3,2215,2,20,7,4,6,0,0,0,4,1,1,0,0,1,1,2,E01004062
2.01601E+12,2016,10000073,515150,176380,-0.343375,51.474619,1,3,2,1,01-11-2016,3,19:06,25,E09000018,E09000018,3,315,6,30,3,4,4,363,0,0,4,1,1,0,0,1,1,2,E01002677
